"Unix.Timestamp","Date","Symbol","Open","High","Low","Close","Volume"
1611115200000,"2021-01-20 04:00:00","LTC",148.74,153.75,137.57,144.77,24865.7158717
1611028800000,"2021-01-19 04:00:00","LTC",158.59,166.15,147.74,148.74,50321.7677089
1610942400000,"2021-01-18 04:00:00","LTC",139.7,160.41,138.69,158.59,53205.1424097
1.610856e+12,"2021-01-17 04:00:00","LTC",143.98,145.75,136.6,139.7,18933.8450912
1610769600000,"2021-01-16 04:00:00","LTC",143.67,152.63,139.29,143.98,24341.1486891
1610683200000,"2021-01-15 04:00:00","LTC",150,151.74,130,143.67,41259.3964726
1610596800000,"2021-01-14 04:00:00","LTC",145.02,155.29,145.02,150,4416.5325958
1610510400000,"2021-01-13 04:00:00","LTC",133.72,149.99,129.94,145.02,30655.9037107
1.610424e+12,"2021-01-12 04:00:00","LTC",140.8,146.78,125.67,133.72,57900.9617042
1610337600000,"2021-01-11 04:00:00","LTC",143.22,149.17,112.01,140.8,189473.712749
1610251200000,"2021-01-10 04:00:00","LTC",179.08,185.93,123.23,143.22,73183.5118874
1610164800000,"2021-01-09 04:00:00","LTC",171.49,186.37,163.65,179.08,34613.9067723
1610078400000,"2021-01-08 04:00:00","LTC",158.38,182.11,155.6,171.49,48038.2906634
1.609992e+12,"2021-01-07 04:00:00","LTC",170.5,170.5,150.43,158.38,15276.8855544
1609905600000,"2021-01-06 04:00:00","LTC",157.04,173.24,157.04,170.5,53189.9888721
1609819200000,"2021-01-05 04:00:00","LTC",149.58,163.56,146.8,157.04,46622.1471118
1609732800000,"2021-01-04 04:00:00","LTC",164.71,174.87,138,149.58,91816.4236269
1609646400000,"2021-01-03 04:00:00","LTC",135.78,165,135.53,164.71,59307.6641424
1.60956e+12,"2021-01-02 04:00:00","LTC",125.4,141.73,124.3,135.78,40854.6929817
1609473600000,"2021-01-01 04:00:00","LTC",132.33,132.33,123.75,125.4,22844.5307304
1.613016e+12,"2021-02-11 04:00:00","ZEC",117.29,150,117.29,144.2,5381.73286322
1612929600000,"2021-02-10 04:00:00","ZEC",112.6,121.57,106.4,117.29,6836.39475095
1612843200000,"2021-02-09 04:00:00","ZEC",103.94,114,100.11,112.6,8896.8667577
1612756800000,"2021-02-08 04:00:00","ZEC",92.57,105,92.16,103.94,7648.67586711
1612670400000,"2021-02-07 04:00:00","ZEC",93.12,94.71,89.06,92.57,1837.54540454
1.612584e+12,"2021-02-06 04:00:00","ZEC",97.13,98.89,91.81,93.12,3994.39758128
1612497600000,"2021-02-05 04:00:00","ZEC",90.74,97.39,90.45,97.13,7798.63367007
1612411200000,"2021-02-04 04:00:00","ZEC",92.11,92.11,89.03,90.74,4138.119591
1612324800000,"2021-02-03 04:00:00","ZEC",95.57,97.11,92.11,92.11,3642.26903968
1612238400000,"2021-02-02 04:00:00","ZEC",91.55,96.31,89.62,95.57,6383.12895867
1.612152e+12,"2021-02-01 04:00:00","ZEC",87.18,93.24,84.25,91.55,4144.50674472
1612065600000,"2021-01-31 04:00:00","ZEC",86.34,88.2,82.41,87.18,3166.75371167
1611979200000,"2021-01-30 04:00:00","ZEC",83.24,87.47,83,86.34,4003.12864779
1611892800000,"2021-01-29 04:00:00","ZEC",84.43,90.82,82.34,83.24,9306.12464455
1611806400000,"2021-01-28 04:00:00","ZEC",80.43,89,80.43,84.43,3180.69944298
1.61172e+12,"2021-01-27 04:00:00","ZEC",86.08,86.43,77,80.43,8844.84833133
1611633600000,"2021-01-26 04:00:00","ZEC",86.97,90,83.61,86.08,5063.8485223
1611547200000,"2021-01-25 04:00:00","ZEC",90.74,96.38,86.5,86.97,9626.59274864
1611460800000,"2021-01-24 04:00:00","ZEC",88.39,92.3,86.8,90.74,8629.99517896
1611374400000,"2021-01-23 04:00:00","ZEC",87.03,90.34,83.8,88.39,20170.59995323
1.611288e+12,"2021-01-22 04:00:00","ZEC",83.47,91.46,81.86,87.03,8178.62106732
1611201600000,"2021-01-21 04:00:00","ZEC",95.36,95.36,77,83.47,17251.93817448
1611115200000,"2021-01-20 04:00:00","ZEC",98.81,100.8,90.5,95.36,8430.44275081
1611028800000,"2021-01-19 04:00:00","ZEC",103.63,112.56,98.81,98.81,8054.13695929
1610942400000,"2021-01-18 04:00:00","ZEC",101.45,105.54,100.02,103.63,7935.57309755
1.610856e+12,"2021-01-17 04:00:00","ZEC",106.22,107.65,98,101.45,12503.2605428
1610769600000,"2021-01-16 04:00:00","ZEC",104.34,113.61,102.08,106.22,7939.79080007
1610683200000,"2021-01-15 04:00:00","ZEC",109.17,115,94.9,104.34,11805.60090406
1610596800000,"2021-01-14 04:00:00","ZEC",115.15,115.15,107.97,109.17,1295.4462993
1610510400000,"2021-01-13 04:00:00","ZEC",98.67,120,98.64,115.15,24962.51770364
1.610424e+12,"2021-01-12 04:00:00","ZEC",93.89,105.68,88.39,98.67,32789.38968134
1610337600000,"2021-01-11 04:00:00","ZEC",84.48,108.56,77.59,93.89,43441.16021752
1610251200000,"2021-01-10 04:00:00","ZEC",81.35,98.98,76.55,84.48,47983.00776899
1610164800000,"2021-01-09 04:00:00","ZEC",68.21,83.41,66.13,81.35,24435.36845998
1610078400000,"2021-01-08 04:00:00","ZEC",65.22,71.63,63.5,68.21,20268.56582955
1.609992e+12,"2021-01-07 04:00:00","ZEC",68.09,68.09,61.42,65.22,4310.665854
1609905600000,"2021-01-06 04:00:00","ZEC",60.15,70.37,59.91,68.09,31599.70010153
1609819200000,"2021-01-05 04:00:00","ZEC",58.78,60.85,58.08,60.15,9352.93604446
1609732800000,"2021-01-04 04:00:00","ZEC",62.9,65.52,56.53,58.78,11477.83990675
1609646400000,"2021-01-03 04:00:00","ZEC",57.59,63.09,56.01,62.9,13380.29364555
1.60956e+12,"2021-01-02 04:00:00","ZEC",57.69,60.13,56.03,57.59,13577.10380183
1609473600000,"2021-01-01 04:00:00","ZEC",65.88,67.46,54.64,57.69,22315.60801271
